date,country,state_province,distributor_id,channel,retailer_id,sku,product_name,bottle_size_ml,units,unit_price,currency,discount_applied,promo_id,order_id,invoice_id
31-12-2023,USA,WA,D001,On-Trade,R0001,CH-03-375,Maison Étoile - Blanc de Blancs 375ml,375,6,31.3,USD,0,,O500000,
2023-06-03,USA,CA,D004,Off-Trade,R0018,CH-03-1500,Maison Étoile - Blanc de Blancs 1500ml,1500,1,148.79,USD,1,,O500001,INV500043
2024-02-03,USA,MN,D003,On-Trade,R0006,CH-02-375,MAISON ÉTOILE brut rosé 375ml,375,8,34.39,USD,0,,O500002,INV500008
08/29/2023,USA,FL,D004,On-Trade,R0007,CH-06-750,Maison Étoile Demi-sec 750 mL,750,2,60.33,CAD,0,,O500003,INV500023
2024-09-24,Canada,SK,D004,Off-Trade,R0010,CH-06-375,Maison Étoile Demi-sec 375 mL,375,4,41.52,CAD,0,P1034,O500004,INV500047
23-02-2024,USA,GA,D001,On-Trade,R0014,CH-04-375,Maison Étoile - Vintage 2014 375ml,375,8,42.46,USD,1,,O500005,INV500043
2024-10-09,USA,NJ,D003,On-Trade,R0001,CH-06-750,Maison Étoile - Demi-sec 750ml,750,1,54.12,USD,0,,O500006,INV500049
2024-09-05,Canada,NB,D002,On-Trade,R0015,CH-04-750,Maison Etoile Vintage 2014 750ml,750,3,81.24,CAD,0,P1056,O500007,INV500022
25-08-2023,USA,MA,D002,E-Commerce,R0013,CH-06-375,Maison Étoile - Demi-sec 375ml,375,3,34.75,USD,0,,O500008,INV500041
12/07/2023,Canada,NL,D001,On-Trade,R0011,CH-02-750,Maison Étoile Brut Rosé 750 mL,750,8,80.52,CAD,0,,O500009,INV500050
2024-02-03,USA,CA,D003,On-Trade,R0004,CH-04-750,Maison Etoile Vintage 2014 750ml,750,4,59.53,USD,0,,O500010,INV500043
2023-01-12,Canada,AB,D002,On-Trade,R0015,CH-01-375,Maison Étoile Brut Tradition 375 mL,375,2,47.44,CAD,0,,O500011,INV500044
2024-04-07,USA,NJ,D003,On-Trade,R0018,CH-02-750,Maison Etoile Brut Rosé 750ml,750,2,59.33,USD,0,,O500012,INV500040
12/03/2024,USA,TX,D003,Off-Trade,R0006,CH-06-750,Maison Étoile - Demi-sec 750ml,750,4,60.66,USD,0,,O500013,INV500051
2023-12-04,Canada,AB,D001,On-Trade,R0011,CH-05-375,Maison Étoile - Vintage 2016 375ml,375,9,45.09,CAD,0,,O500014,INV500061
11-10-2023,USA,MA,D003,On-Trade,R0001,CH-05-375,Maison Etoile Vintage 2016 375ml,375,2,31.44,USD,0,,O500015,INV500051
12-02-2024,USA,IL,D004,Off-Trade,R0016,CH-03-750,Maison Etoile Blanc de Blancs 750ml,750,7,56.79,USD,0,,O500016,
03/14/2025,USA,NJ,D001,E-Commerce,R0007,CH-01-375,Maison Étoile - Brut Tradition 375ml,375,9,36.06,USD,0,,O500017,INV500025
2024-02-18,USA,MN,D002,On-Trade,R0005,CH-02-750,MAISON ÉTOILE brut rosé 750ml,750,8,62.74,USD,0,P1021,O500018,INV500039
01-08-2023,USA,CT,D003,On-Trade,R0007,CH-06-1500,MAISON ÉTOILE demi-sec 1500ml,1500,2,140.0,USD,0,,O500019,INV500037
04/21/2023,USA,MA,D001,Off-Trade,R0003,CH-07-1500,MAISON ÉTOILE extra brut 1500ml,1500,0,120.1,USD,0,,O500020,INV500058
08/20/2024,Canada,NS,D004,Off-Trade,R0015,CH-06-375,Maison Étoile Demi-sec 375 mL,375,7,46.58,CAD,0,,O500021,
02/07/2023,USA,AZ,D004,On-Trade,R0007,CH-03-1500,MAISON ÉTOILE blanc de blancs 1500ml,1500,2,158.17,USD,0,,O500022,INV500039
2024-02-10,Canada,PE,D002,On-Trade,R0011,CH-04-375,Maison Étoile - Vintage 2014 375ml,375,4,56.97,CAD,0,,O500023,INV500033
21-01-2025,USA,PA,D003,Off-Trade,R0017,CH-06-375,Maison Étoile Demi-sec 375 mL,375,7,34.76,USD,0,P1034,O500024,INV500069
2023-03-15,Canada,PE,D004,On-Trade,R0009,CH-07-375,Maison Etoile Extra Brut 375ml,375,1,45.84,CAD,0,P1043,O500025,INV500055
02/18/2024,USA,TX,D003,E-Commerce,R0013,CH-07-750,MAISON ÉTOILE extra brut 750ml,750,3,65.9,USD,0,,O500026,INV500052
16-04-2024,Canada,MB,D002,Off-Trade,R0015,CH-06-375,MAISON ÉTOILE demi-sec 375ml,375,7,51.73,CAD,0,P1049,O500027,INV500030
2024-07-26,Canada,PE,D003,On-Trade,R0015,CH-04-750,Maison Étoile Vintage 2014 750 mL,750,4,69.36,CAD,0,,O500028,INV500066
02-09-2024,Canada,NB,D001,On-Trade,R0011,CH-06-375,Maison Etoile Demi-sec 375ml,375,8,46.8,USD,0,P1002,O500029,INV500036
23-08-2024,USA,MN,D001,E-Commerce,R0013,CH-02-375,Maison Étoile Brut Rosé 375 mL,375,4,30.48,USD,1,,O500030,INV500049
17-09-2024,Canada,ON,D004,On-Trade,R0012,CH-06-375,Maison Étoile Demi-sec 375 mL,375,7,46.4,CAD,1,,O500031,INV500051
04-09-2023,USA,TX,D001,On-Trade,R0004,CH-07-375,Maison Étoile - Extra Brut 375ml,375,5,31.85,USD,1,,O500032,INV500075
10/04/2023,USA,TX,D004,E-Commerce,R0003,CH-03-750,Maison Étoile - Blanc de Blancs 750ml,750,5,66.19,USD,0,,O500033,INV500052
2024-03-29,USA,NY,D004,On-Trade,R0003,CH-05-750,Maison Etoile Vintage 2016 750ml,750,2,58.73,USD,1,,O500034,INV500068
11-02-2024,USA,VA,D002,On-Trade,R0005,CH-04-750,Maison Étoile Vintage 2014 750 mL,750,3,59.03,USD,0,,O500035,INV500060
01-03-2024,Canada,AB,D001,E-Commerce,R0008,CH-02-750,Maison Étoile Brut Rosé 750 mL,750,3,80.71,CAD,0,P1032,O500036,INV500060
08-12-2024,Canada,SK,D002,Off-Trade,R0015,CH-03-375,Maison Étoile - Blanc de Blancs 375ml,375,10,43.28,CAD,0,,O500037,INV500045
2023-01-08,USA,MA,D004,E-Commerce,R0014,CH-03-375,Maison Étoile Blanc de Blancs 375 mL,375,5,25.87,USD,0,,O500038,INV500040
06-08-2024,USA,CT,D001,On-Trade,R0006,CH-01-375,Maison Etoile Brut Tradition 375ml,375,4,37.61,USD,0,,O500039,
